Review_ID,Rating,Year_Month,Reviewer_Location,Review_Text,Branch
279977484,3,2015-6,United Kingdom,"As a family we left a little disappointed by our visit to DLP. The atmosphere in the park is brought down by rude people who think nothing of pushing in front of others in queues and smoking wherever they want. There also seemed to be a lot of construction work going on around the park and a few of the rides were shut. I have visited Disney World in Florida several times and have never encountered any of these problems there.On a positive note some of the rides were very good such as Thunder mountain, small world and Pirates of the Carribean. If you have younger children DLP is also more manageable to get round as its a much smaller park than Florida. Overall we managed to enjoy our holiday but think we will save for Florida next time.",Disneyland_Paris
182524324,5,2013-6,United States,"It truly IS the funnest place on earth!!! We had the chance to take our daughter and kids to Disneyland and it was their very first time to go! What fun they had...and ALL the way home, that was ALL they could talk about!!!! It is so nice to be able to see Disneyland thru the eyes of a child again!!!! We ALL had a great time!!!",Disneyland_California
603684918,4,2017-12,United States,"We took the bus from Shenzhen to get there (give yourself time   the trip can take a while). We were there in December, so the crowds weren't too bad. Best rides to go on: Hyperspace Mountain (like Space Mountain in the US, but Star Wars themed), Mystic Manor (the Hong Kong answer to the Haunted Mansion), and Big Grizzly Mountain   truly the best surprise of the three! One pet peeve: as a US citizen there, I was sad that all the popcorn was sweet rather than salty. I would've loved some butter and salt popcorn while I was there.",Disneyland_HongKong
278627765,5,2014-10,United States,I always love Disneyland. Best Rides and atmosphere ever! We could easily spend several days here alone!,Disneyland_California
193829431,3,2014-2,Panama,"It was nice to be at the original park created by Walt Disney, they have great rides like Indiana Jones.But it was disgusting that they have 4 main atractions closed at the same time like Splash Mountain, Big Thunder RR coaster, Finding Nemo and It's a Small World.So waiting time in attractions like Space Mountain and Indiana Jones were too much compared with the waiting times in California adventures.But it is a Disney park and is always magical to be around.",Disneyland_California
419622519,1,2016-9,United States,Nightmare at Disneyland we have been asked to leave five rides because they broke down we are standing at the speedway now number five Break down somebody needs to do preventative maintenance we have visited Tokyo Disney and Walt Disney World in Florida it has never happened there for us they keep on saying safety but I think you equipment is old and not taking care of very well,Disneyland_California
219891503,5,2014-7,Malaysia,"The theme park is well maintain and the whole environment is clean as usual. Though the china visitor is really rude and not queue properly, using flash to take picture during the show, making big noise everywhere, but the staff is giving a big patient to control them and try not to affect others.",Disneyland_HongKong
641999778,5,2018-12,Kenya,"We visited just after Christmas 27th but the long line never ended . Was great to catch Mickey and Minnie at the first stop.We booked the tour with gray line tours in hongkong , Candy and Gladys were the best . You can get there by subway ( mtr). ",Disneyland_HongKong
165035144,5,2012-7,United Kingdom,"i really enjoyed my first trip to disneyland paris so much that i went back a further 4 times so far :)the toilets are young children friendly with sinks that are nice and low for young kids etc. plenty of attractions for all ages, and the staff are very friendly. Plenty of eateries and souvenir shops. you will want for nothing but more money to spend haha. kids will love it.",Disneyland_Paris
319954384,4,2015-10,United States,"We live Disneyland and have been waiting six years to go back. I thought I had planned our trip at a slower time, but it was REALLY crowded. Four day park hopper, and the lines were so crazy we barely got to ride what we wanted once, even with Fastpass. It was so crowded we couldn't even find a place to view e fireworks or parade, despite being on Main Street two hours early. By all means, go! But, if you have a choice, wait until the 60th anniversary madness is over.",Disneyland_California
240092631,5,2014-11,United States,"Definitely the happiest place on earth! If you want to spend the whole day in the park, make sure to bring a jacket pants. If you don't want to carry it around they have lockers available for $7 a day. Can't wait until my next visit.",Disneyland_California
407858814,5,2016-8,United Kingdom,Popped over for a day at Disneyland Paris and it never fails to make me happy. Even though it was school holidays the queues weren't excessive and we managed to have a really good day. A two park ticket for 6 people for the day isn't the cheapest but it is worth every penny. My kids absolutely loved it and so did my wife and I. There is something for everyone and if you need a proper thrill it's got that too. Everyone should visit here at least once in their life. Brilliant. ,Disneyland_Paris
163189531,5,2013-6,United States,"Everything is great about Disneyland, but just one thing .... my family is NOT a fan of Grad nights and we try to book our yearly family vacation around these dates at all costs. Grad Nights are usually in May and June and are pretty much every Wed, Thurs, Fri and Sat. The parks get crowded with graduating high schoolers. I'm sure most are good, but it's the loud, obnoxious, clueless, self centered, pushy, unmannered teens that make a family with younger children not be able to enjoy the parks. Google and do your research on when these DL Grad Nite dates are. Personally, I'm looking forward to the day Disney pulls the plug on all grad nights. For Fantasmic viewing I recommend trying to sit in the RiverBelle restaurant patio area. You will need to get there early to claim your table!",Disneyland_California
395377275,2,2016-6,South Africa,We were so excited about this day trip that we planned. It is very expensive and my older kids (23 and 21) found that there is not enough rides for young adults. In comparison to the one in Singapore this was not worth the time or money. The cooldrinks and water was over prized. Will not recommend Hong Kong Disneyland,Disneyland_HongKong
122950247,5,2012-1,United States,Both California Adventure and Disneyland were outstanding!,Disneyland_California
169619838,3,2013-7,United Kingdom,"We travelled as a three generation family and had lovely weather, which was a bonus. However, the inability of park staff to enforce their own smoking ban is a severe drawback. Having to walk through groups standing smoking on pathways and in entrances to toilet facilities is not pleasant. In their defence, we did not see any of the areas that were supposed to be the specially designated areas for smokers. The solution seems to be simple, anyone smoking in an inappropriate place should be ejected from the park and their ticket cancelled. It would not take too long for the message to get through. In general though, the queues were well controlled with good communication, but nevertheless this park did not have the feel of a  Magical Kingdom  that Disney claims for it.",Disneyland_Paris
